Subj,Block,Type,Stim,Corr,Trial,Resp,RT,Succ,TrialType,TrialTypeInt
sub-11,Block1,Fix2,stimuli/Smell/28.jpg,right,0,right,4.26843207999991,1,Fix2-1,1
sub-11,Block1,Cond,stimuli/Healthy/51.jpg,left,1,right,1.36824522000097,0,Cond-1,1
sub-11,Block1,Cond,stimuli/Healthy/30.jpg,right,2,right,2.10109231000024,1,Cond-2,2
sub-11,Block1,Fix2,stimuli/Smell/27.jpg,right,3,right,2.68734660499831,1,Fix2-2,2
sub-11,Block1,Cond,stimuli/Healthy/46.jpg,left,4,left,1.04728645700015,1,Cond-3,3
sub-11,Block1,Cond,stimuli/Healthy/65.jpg,right,5,right,1.04691873499905,1,Cond-4,4
sub-11,Block1,Fix1,stimuli/Soft/32.jpg,left,6,left,1.85379083299995,1,Fix1-1,1
sub-11,Block1,Fix1,stimuli/Soft/23.jpg,left,7,right,1.17941563000204,0,Fix1-2,2
sub-11,Block1,Fix1,stimuli/Soft/47.jpg,left,8,right,1.74420606999774,0,Fix1-3,3
sub-11,Block1,Fix2,stimuli/Smell/49.jpg,right,9,right,0.567726482997386,1,Fix2-3,3
sub-11,Block1,Cond,stimuli/Healthy/52.jpg,left,10,left,1.12712404999911,1,Cond-5,5
sub-11,Block1,Fix1,stimuli/Soft/49.jpg,left,11,left,1.07196352499886,1,Fix1-4,4
sub-11,Block1,Fix1,stimuli/Soft/39.jpg,left,12,left,0.882209175000753,1,Fix1-5,5
sub-11,Block1,Cond,stimuli/Healthy/4.jpg,right,13,left,0.754137399999308,0,Cond-6,6
sub-11,Block1,Fix2,stimuli/Smell/5.jpg,right,14,right,1.59020122700167,1,Fix2-4,4
sub-11,Block1,Cond,stimuli/Healthy/69.jpg,left,15,right,1.51544611799909,0,Cond-7,7
sub-11,Block1,Fix2,stimuli/Smell/35.jpg,right,16,right,0.995138072001282,1,Fix2-5,5
sub-11,Block1,Cond,stimuli/Healthy/39.jpg,left,17,left,1.2076557750006,1,Cond-8,8
sub-11,Block1,Fix1,stimuli/Soft/14.jpg,left,18,left,1.73051455999666,1,Fix1-6,6
sub-11,Block1,Cond,stimuli/Healthy/10.jpg,right,19,left,0.952776989997801,0,Cond-9,9
sub-11,Block1,Fix2,stimuli/Smell/54.jpg,right,20,right,6.09155399299925,1,Fix2-6,6
sub-11,Block1,Fix1,stimuli/Soft/12.jpg,left,21,left,3.69892304699897,1,Fix1-7,7
sub-11,Block1,Fix1,stimuli/Soft/37.jpg,left,22,right,1.84354406000057,0,Fix1-8,8
sub-11,Block1,Fix2,stimuli/Smell/18.jpg,right,23,right,0.780613338996773,1,Fix2-7,7
sub-11,Block1,Cond,stimuli/Healthy/16.jpg,left,24,left,4.51453283500086,1,Cond-10,10
sub-11,Block1,Fix1,stimuli/Soft/7.jpg,left,25,left,5.50174179700116,1,Fix1-9,9
sub-11,Block1,Fix1,stimuli/Soft/44.jpg,left,26,left,1.25188349699965,1,Fix1-10,10
sub-11,Block1,Fix2,stimuli/Smell/57.jpg,right,27,right,3.17703621699911,1,Fix2-8,8
sub-11,Block1,Fix1,stimuli/Soft/29.jpg,left,28,left,1.92288027299946,1,Fix1-11,11
sub-11,Block1,Fix2,stimuli/Smell/50.jpg,right,29,right,0.943046854998101,1,Fix2-9,9
sub-11,Block1,Fix1,stimuli/Soft/41.jpg,left,30,left,1.02048217500123,1,Fix1-12,12
sub-11,Block1,Fix2,stimuli/Smell/58.jpg,right,31,right,0.762676687001658,1,Fix2-10,10
sub-11,Block1,Fix2,stimuli/Smell/56.jpg,right,32,right,1.51692272000219,1,Fix2-11,11
sub-11,Block1,Fix1,stimuli/Soft/13.jpg,left,33,left,6.51897753700177,1,Fix1-13,13
sub-11,Block1,Cond,stimuli/Healthy/35.jpg,right,34,left,2.70027866800228,0,Cond-11,11
sub-11,Block1,Cond,stimuli/Healthy/58.jpg,left,35,left,4.60086548300023,1,Cond-12,12
sub-11,Block1,Fix2,stimuli/Smell/6.jpg,right,36,right,0.742906747000234,1,Fix2-12,12
sub-11,Block1,Cond,stimuli/Healthy/60.jpg,left,37,left,3.02121260000058,1,Cond-13,13
sub-11,Block1,Fix1,stimuli/Soft/46.jpg,left,38,left,5.7470915039994,1,Fix1-14,14
sub-11,Block1,Fix2,stimuli/Smell/48.jpg,right,39,right,1.4313777669995,1,Fix2-13,13
sub-11,Block1,Cond,stimuli/Healthy/34.jpg,left,40,left,1.18935973000043,1,Cond-14,14
sub-11,Block1,Fix2,stimuli/Smell/34.jpg,right,41,right,0.846880739998596,1,Fix2-14,14
sub-11,Block1,Fix2,stimuli/Smell/29.jpg,right,42,right,2.76869031400201,1,Fix2-15,15
sub-11,Block1,Cond,stimuli/Healthy/67.jpg,left,43,left,1.32731059199796,1,Cond-15,15
sub-11,Block1,Fix2,stimuli/Smell/31.jpg,right,44,right,1.10990274000142,1,Fix2-16,16
