Block1Type,Block1Stim,Block1Corr
Fix2,stimuli/Dangerous/15.jpg,right
Fix1,stimuli/School/26.jpg,left
Cond,stimuli/Small/10.jpg,right
Fix1,stimuli/School/25.jpg,left
Fix2,stimuli/Dangerous/30.jpg,right
Fix2,stimuli/Dangerous/42.jpg,right
Cond,stimuli/Small/4.jpg,left
Fix2,stimuli/Dangerous/44.jpg,right
Cond,stimuli/Small/39.jpg,left
Fix2,stimuli/Dangerous/34.jpg,right
Cond,stimuli/Small/13.jpg,left
Fix2,stimuli/Dangerous/6.jpg,right
Fix2,stimuli/Dangerous/24.jpg,right
Cond,stimuli/Small/20.jpg,left
Fix2,stimuli/Dangerous/33.jpg,right
Cond,stimuli/Small/2.jpg,left
Fix2,stimuli/Dangerous/41.jpg,right
Fix1,stimuli/School/56.jpg,left
Cond,stimuli/Small/57.jpg,right
Fix2,stimuli/Dangerous/58.jpg,right
Cond,stimuli/Small/58.jpg,left
Fix2,stimuli/Dangerous/20.jpg,right
Cond,stimuli/Small/29.jpg,left
Fix2,stimuli/Dangerous/46.jpg,right
Fix1,stimuli/School/10.jpg,left
Fix1,stimuli/School/50.jpg,left
Cond,stimuli/Small/19.jpg,right
Fix1,stimuli/School/28.jpg,left
Fix1,stimuli/School/35.jpg,left
Fix1,stimuli/School/39.jpg,left
Cond,stimuli/Small/42.jpg,right
Fix2,stimuli/Dangerous/31.jpg,right
Cond,stimuli/Small/25.jpg,left
Cond,stimuli/Small/9.jpg,right
Fix1,stimuli/School/9.jpg,left
Fix1,stimuli/School/23.jpg,left
Fix1,stimuli/School/54.jpg,left
Cond,stimuli/Small/43.jpg,right
Fix2,stimuli/Dangerous/22.jpg,right
Fix2,stimuli/Dangerous/43.jpg,right
Cond,stimuli/Small/36.jpg,left
Fix2,stimuli/Dangerous/38.jpg,right
Fix1,stimuli/School/18.jpg,left
Fix1,stimuli/School/36.jpg,left
Fix1,stimuli/School/48.jpg,left
Fix1,stimuli/School/42.jpg,left
Cond,stimuli/Small/23.jpg,right
Cond,stimuli/Small/38.jpg,left
Cond,stimuli/Small/55.jpg,right
Cond,stimuli/Small/1.jpg,left
Fix1,stimuli/School/6.jpg,left
Fix2,stimuli/Dangerous/18.jpg,right
Fix1,stimuli/School/1.jpg,left
Cond,stimuli/Small/33.jpg,right
Cond,stimuli/Small/12.jpg,left
Cond,stimuli/Small/17.jpg,right
Fix1,stimuli/School/17.jpg,left
Cond,stimuli/Small/11.jpg,right
Fix1,stimuli/School/33.jpg,left
Cond,stimuli/Small/18.jpg,right
Fix2,stimuli/Dangerous/61.jpg,right
Fix2,stimuli/Dangerous/32.jpg,right
Fix2,stimuli/Dangerous/28.jpg,right
Cond,stimuli/Small/16.jpg,left
Cond,stimuli/Small/14.jpg,right
Fix2,stimuli/Dangerous/35.jpg,right
Fix2,stimuli/Dangerous/3.jpg,right
Cond,stimuli/Small/45.jpg,left
Fix2,stimuli/Dangerous/10.jpg,right
Fix2,stimuli/Dangerous/9.jpg,right
Cond,stimuli/Small/31.jpg,left
Fix1,stimuli/School/19.jpg,left
Fix1,stimuli/School/11.jpg,left
Fix1,stimuli/School/31.jpg,left
Fix1,stimuli/School/21.jpg,left
Fix1,stimuli/School/55.jpg,left
Cond,stimuli/Small/32.jpg,right
Fix2,stimuli/Dangerous/48.jpg,right
Cond,stimuli/Small/5.jpg,left
Fix1,stimuli/School/37.jpg,left
Fix1,stimuli/School/27.jpg,left
Cond,stimuli/Small/28.jpg,right
Cond,stimuli/Small/30.jpg,left
Fix1,stimuli/School/59.jpg,left
Fix2,stimuli/Dangerous/7.jpg,right
Cond,stimuli/Small/37.jpg,left
Fix1,stimuli/School/13.jpg,left
Fix2,stimuli/Dangerous/14.jpg,right
Cond,stimuli/Small/50.jpg,left
Fix2,stimuli/Dangerous/63.jpg,right
Fix2,stimuli/Dangerous/0.jpg,right
Fix1,stimuli/School/32.jpg,left
Fix1,stimuli/School/29.jpg,left
Cond,stimuli/Small/7.jpg,right
Fix2,stimuli/Dangerous/19.jpg,right
Cond,stimuli/Small/51.jpg,left
Fix2,stimuli/Dangerous/4.jpg,right
Cond,stimuli/Small/24.jpg,left
Fix1,stimuli/School/58.jpg,left
Cond,stimuli/Small/35.jpg,right
Cond,stimuli/Small/40.jpg,left
Cond,stimuli/Small/3.jpg,right
Fix1,stimuli/School/38.jpg,left
Fix2,stimuli/Dangerous/26.jpg,right
Fix1,stimuli/School/51.jpg,left
Cond,stimuli/Small/56.jpg,right
Cond,stimuli/Small/44.jpg,left
Fix2,stimuli/Dangerous/36.jpg,right
Cond,stimuli/Small/54.jpg,left
Fix1,stimuli/School/0.jpg,left
Fix1,stimuli/School/57.jpg,left
Fix1,stimuli/School/24.jpg,left
Fix2,stimuli/Dangerous/45.jpg,right
Fix2,stimuli/Dangerous/40.jpg,right
Fix2,stimuli/Dangerous/39.jpg,right
Cond,stimuli/Small/59.jpg,left
Fix2,stimuli/Dangerous/21.jpg,right
Fix1,stimuli/School/15.jpg,left
Fix1,stimuli/School/5.jpg,left
Fix1,stimuli/School/46.jpg,left
Fix1,stimuli/School/4.jpg,left
Fix2,stimuli/Dangerous/8.jpg,right
Fix2,stimuli/Dangerous/17.jpg,right
Fix2,stimuli/Dangerous/1.jpg,right
Fix1,stimuli/School/3.jpg,left
Fix2,stimuli/Dangerous/37.jpg,right
Fix1,stimuli/School/22.jpg,left
Fix2,stimuli/Dangerous/51.jpg,right
Cond,stimuli/Small/6.jpg,left
Fix1,stimuli/School/12.jpg,left
Fix2,stimuli/Dangerous/13.jpg,right
Fix1,stimuli/School/49.jpg,left
Fix2,stimuli/Dangerous/2.jpg,right
Cond,stimuli/Small/52.jpg,left
Cond,stimuli/Small/27.jpg,right
Fix1,stimuli/School/41.jpg,left
Fix1,stimuli/School/40.jpg,left
Fix2,stimuli/Dangerous/57.jpg,right
Cond,stimuli/Small/21.jpg,left
Cond,stimuli/Small/48.jpg,right
Fix2,stimuli/Dangerous/12.jpg,right
Fix1,stimuli/School/2.jpg,left
Fix1,stimuli/School/16.jpg,left
Fix2,stimuli/Dangerous/23.jpg,right
Fix2,stimuli/Dangerous/5.jpg,right
Fix2,stimuli/Dangerous/56.jpg,right
Cond,stimuli/Small/22.jpg,left
Fix1,stimuli/School/7.jpg,left
Fix1,stimuli/School/43.jpg,left
Fix2,stimuli/Dangerous/27.jpg,right
