Block2Type,Block2Stim,Block2Corr,Block2RespL,Block2RespM,Block2RespR,Block2CorrAlpha
Fix1,stimuli/Small/20.jpg,+,+,^,~,left
Fix1,stimuli/Small/52.jpg,+,~,^,+,right
Fix3,stimuli/Wealth/17.jpg,^,~,^,+,down
Fix2,stimuli/Old/36.jpg,~,~,^,+,left
Fix3,stimuli/Wealth/55.jpg,^,~,^,+,down
Fix2,stimuli/Old/58.jpg,~,~,^,+,left
Fix2,stimuli/Old/24.jpg,~,+,^,~,right
Fix1,stimuli/Small/56.jpg,+,~,^,+,right
Fix3,stimuli/Wealth/1.jpg,^,~,^,+,down
Fix3,stimuli/Wealth/43.jpg,^,^,+,~,left
Fix3,stimuli/Wealth/27.jpg,^,+,^,~,down
Fix1,stimuli/Small/5.jpg,+,~,^,+,right
Fix2,stimuli/Old/14.jpg,~,~,^,+,left
Fix2,stimuli/Old/26.jpg,~,^,+,~,right
Fix1,stimuli/Small/26.jpg,+,^,+,~,down
