Block1Type,Block1Stim,Block1Corr,Block1RespL,Block1RespM,Block1RespR
Fix3,stimuli/Sad/18.jpg,~,+,~,^
Fix2,stimuli/Small/55.jpg,^,^,+,~
Fix3,stimuli/Sad/17.jpg,~,+,^,~
Fix3,stimuli/Sad/44.jpg,~,^,+,~
Fix1,stimuli/School/17.jpg,+,~,^,+
Fix3,stimuli/Sad/49.jpg,~,^,+,~
Fix2,stimuli/Small/15.jpg,^,^,~,+
Fix3,stimuli/Sad/29.jpg,~,~,+,^
Fix1,stimuli/School/42.jpg,+,+,^,~
Fix2,stimuli/Small/47.jpg,^,+,^,~
Fix1,stimuli/School/11.jpg,+,~,^,+
Fix3,stimuli/Sad/28.jpg,~,+,~,^
Fix1,stimuli/School/29.jpg,+,+,^,~
Fix1,stimuli/School/7.jpg,+,~,^,+
Fix3,stimuli/Sad/48.jpg,~,~,+,^
Fix2,stimuli/Small/20.jpg,^,~,^,+
Fix3,stimuli/Sad/1.jpg,~,^,~,+
Fix2,stimuli/Small/31.JPG,^,^,~,+
Fix2,stimuli/Small/12.jpg,^,~,+,^
Fix2,stimuli/Small/38.jpg,^,+,^,~
Fix1,stimuli/School/22.jpg,+,~,+,^
Fix1,stimuli/School/43.jpg,+,~,^,+
Fix3,stimuli/Sad/34.jpg,~,~,^,+
Fix3,stimuli/Sad/57.jpg,~,~,^,+
Fix2,stimuli/Small/10.jpg,^,+,~,^
Fix2,stimuli/Small/28.jpg,^,^,+,~
Fix2,stimuli/Small/18.jpg,^,^,+,~
Fix3,stimuli/Sad/52.jpg,~,~,+,^
Fix3,stimuli/Sad/37.jpg,~,+,^,~
Fix3,stimuli/Sad/31.jpg,~,~,^,+
Fix1,stimuli/School/19.jpg,+,+,~,^
Fix3,stimuli/Sad/59.jpg,~,+,^,~
Fix1,stimuli/School/13.jpg,+,+,^,~
Fix3,stimuli/Sad/14.jpg,~,^,+,~
Fix1,stimuli/School/41.jpg,+,+,^,~
Fix1,stimuli/School/47.jpg,+,+,^,~
Fix3,stimuli/Sad/24.jpg,~,+,~,^
Fix3,stimuli/Sad/11.jpg,~,~,+,^
Fix1,stimuli/School/45.jpg,+,~,^,+
Fix3,stimuli/Sad/8.jpg,~,+,^,~
Fix3,stimuli/Sad/20.jpg,~,~,+,^
Fix1,stimuli/School/37.jpg,+,~,^,+
Fix2,stimuli/Small/7.jpg,^,~,+,^
Fix3,stimuli/Sad/55.jpg,~,~,^,+
Fix2,stimuli/Small/59.jpg,^,+,^,~
Fix1,stimuli/School/10.jpg,+,^,~,+
Fix1,stimuli/School/28.jpg,+,+,^,~
Fix1,stimuli/School/25.jpg,+,~,+,^
Fix2,stimuli/Small/41.jpg,^,+,^,~
Fix2,stimuli/Small/21.jpg,^,+,~,^
Fix1,stimuli/School/50.jpg,+,+,~,^
Fix1,stimuli/School/12.jpg,+,~,+,^
Fix3,stimuli/Sad/30.jpg,~,+,^,~
Fix3,stimuli/Sad/12.jpg,~,^,+,~
Fix2,stimuli/Small/52.jpg,^,+,^,~
Fix2,stimuli/Small/50.jpg,^,~,^,+
Fix1,stimuli/School/48.jpg,+,^,~,+
Fix2,stimuli/Small/9.jpg,^,+,^,~
Fix1,stimuli/School/9.jpg,+,^,~,+
Fix2,stimuli/Small/24.jpg,^,+,^,~
Fix1,stimuli/School/16.jpg,+,~,^,+
Fix3,stimuli/Sad/4.jpg,~,+,^,~
Fix1,stimuli/School/53.jpg,+,~,^,+
Fix3,stimuli/Sad/27.jpg,~,^,~,+
Fix3,stimuli/Sad/56.jpg,~,+,^,~
Fix3,stimuli/Sad/3.jpg,~,^,+,~
Fix1,stimuli/School/21.jpg,+,+,^,~
Fix3,stimuli/Sad/47.jpg,~,~,+,^
Fix1,stimuli/School/39.jpg,+,^,+,~
Fix1,stimuli/School/5.jpg,+,+,^,~
Fix2,stimuli/Small/23.jpg,^,+,^,~
Fix3,stimuli/Sad/42.jpg,~,+,^,~
Fix3,stimuli/Sad/7.jpg,~,+,^,~
Fix2,stimuli/Small/35.jpg,^,~,^,+
Fix3,stimuli/Sad/40.jpg,~,~,^,+
Fix1,stimuli/School/8.jpg,+,~,^,+
Fix2,stimuli/Small/43.jpg,^,+,^,~
Fix2,stimuli/Small/3.jpg,^,^,~,+
Fix1,stimuli/School/32.jpg,+,+,^,~
Fix3,stimuli/Sad/53.jpg,~,+,^,~
Fix2,stimuli/Small/5.jpg,^,+,~,^
Fix1,stimuli/School/15.jpg,+,^,+,~
Fix2,stimuli/Small/42.jpg,^,~,+,^
Fix1,stimuli/School/30.jpg,+,^,~,+
Fix2,stimuli/Small/46.jpg,^,+,^,~
Fix2,stimuli/Small/34.jpg,^,~,+,^
Fix3,stimuli/Sad/54.jpg,~,^,+,~
Fix2,stimuli/Small/48.jpg,^,~,+,^
Fix2,stimuli/Small/32.jpg,^,+,^,~
Fix2,stimuli/Small/54.jpg,^,^,+,~
Fix1,stimuli/School/6.jpg,+,^,+,~
Fix1,stimuli/School/18.jpg,+,^,~,+
Fix1,stimuli/School/33.jpg,+,+,^,~
Fix2,stimuli/Small/57.jpg,^,~,+,^
Fix3,stimuli/Sad/38.jpg,~,^,~,+
Fix3,stimuli/Sad/10.jpg,~,~,^,+
Fix2,stimuli/Small/0.jpg,^,~,^,+
Fix1,stimuli/School/38.jpg,+,^,+,~
Fix1,stimuli/School/57.jpg,+,^,+,~
Fix2,stimuli/Small/45.jpg,^,~,+,^
Fix3,stimuli/Sad/2.jpg,~,~,+,^
Fix3,stimuli/Sad/32.jpg,~,+,^,~
Fix3,stimuli/Sad/39.jpg,~,^,~,+
Fix2,stimuli/Small/29.jpg,^,^,+,~
Fix1,stimuli/School/44.jpg,+,+,~,^
Fix1,stimuli/School/46.jpg,+,^,~,+
Fix1,stimuli/School/54.jpg,+,+,~,^
Fix2,stimuli/Small/30.jpg,^,^,~,+
Fix2,stimuli/Small/1.jpg,^,^,+,~
Fix2,stimuli/Small/40.jpg,^,~,^,+
Fix3,stimuli/Sad/33.jpg,~,^,~,+
Fix1,stimuli/School/36.jpg,+,~,+,^
Fix3,stimuli/Sad/19.jpg,~,~,^,+
Fix1,stimuli/School/23.jpg,+,^,+,~
Fix3,stimuli/Sad/22.jpg,~,~,^,+
Fix2,stimuli/Small/2.jpg,^,~,^,+
Fix3,stimuli/Sad/13.jpg,~,~,+,^
Fix2,stimuli/Small/56.jpg,^,^,~,+
Fix3,stimuli/Sad/15.jpg,~,+,^,~
Fix2,stimuli/Small/27.jpg,^,+,~,^
Fix1,stimuli/School/0.jpg,+,+,^,~
Fix2,stimuli/Small/26.jpg,^,~,^,+
Fix2,stimuli/Small/37.jpg,^,~,^,+
Fix2,stimuli/Small/44.jpg,^,~,^,+
Fix1,stimuli/School/49.jpg,+,~,+,^
Fix3,stimuli/Sad/43.jpg,~,^,~,+
Fix1,stimuli/School/40.jpg,+,~,^,+
Fix3,stimuli/Sad/35.jpg,~,^,+,~
Fix2,stimuli/Small/39.jpg,^,^,~,+
Fix1,stimuli/School/27.jpg,+,^,~,+
Fix2,stimuli/Small/51.jpg,^,~,^,+
Fix3,stimuli/Sad/25.jpg,~,^,+,~
Fix3,stimuli/Sad/5.jpg,~,^,~,+
Fix1,stimuli/School/59.jpg,+,+,^,~
Fix3,stimuli/Sad/46.jpg,~,^,~,+
Fix1,stimuli/School/26.jpg,+,~,+,^
Fix1,stimuli/School/56.jpg,+,^,~,+
Fix2,stimuli/Small/13.jpg,^,~,^,+
Fix3,stimuli/Sad/6.jpg,~,^,~,+
Fix2,stimuli/Small/53.jpg,^,~,+,^
Fix1,stimuli/School/1.jpg,+,^,+,~
Fix1,stimuli/School/55.jpg,+,~,+,^
Fix1,stimuli/School/52.jpg,+,+,~,^
Fix2,stimuli/Small/60.jpg,^,~,+,^
Fix3,stimuli/Sad/36.jpg,~,~,^,+
Fix2,stimuli/Small/6.jpg,^,+,~,^
Fix3,stimuli/Sad/41.jpg,~,+,^,~
Fix1,stimuli/School/2.jpg,+,~,^,+
Fix2,stimuli/Small/4.jpg,^,^,~,+
Fix1,stimuli/School/3.jpg,+,+,^,~
Fix2,stimuli/Small/25.jpg,^,^,+,~
Fix1,stimuli/School/34.jpg,+,^,+,~
Fix3,stimuli/Sad/50.jpg,~,^,+,~
Fix1,stimuli/School/20.jpg,+,~,+,^
Fix3,stimuli/Sad/9.jpg,~,+,~,^
Fix2,stimuli/Small/33.jpg,^,^,+,~
Fix1,stimuli/School/58.jpg,+,^,+,~
Fix1,stimuli/School/4.jpg,+,~,^,+
