Block1Type,Block1Stim,Block1Corr
Fix2,stimuli/Dangerous/18.jpg,left
Cond,stimuli/Healthy/21.jpg,right
Fix2,stimuli/Dangerous/48.jpg,left
Fix2,stimuli/Dangerous/17.jpg,left
Fix1,stimuli/Sad/2.jpg,right
Fix2,stimuli/Dangerous/26.jpg,left
Cond,stimuli/Healthy/51.jpg,right
Fix1,stimuli/Sad/40.jpg,right
Fix1,stimuli/Sad/36.jpg,right
Fix2,stimuli/Dangerous/6.jpg,left
Fix1,stimuli/Sad/53.jpg,right
Fix1,stimuli/Sad/22.jpg,right
Cond,stimuli/Healthy/23.jpg,left
Cond,stimuli/Healthy/36.jpg,right
Fix1,stimuli/Sad/8.jpg,right
Cond,stimuli/Healthy/53.jpg,left
Fix2,stimuli/Dangerous/52.jpg,left
Fix1,stimuli/Sad/59.jpg,right
Fix1,stimuli/Sad/25.jpg,right
Fix1,stimuli/Sad/21.jpg,right
Fix2,stimuli/Dangerous/50.jpg,left
Cond,stimuli/Healthy/46.jpg,right
Cond,stimuli/Healthy/13.jpg,left
Fix1,stimuli/Sad/16.jpg,right
Cond,stimuli/Healthy/42.jpg,left
Cond,stimuli/Healthy/16.jpg,right
Fix2,stimuli/Dangerous/42.jpg,left
Fix1,stimuli/Sad/46.jpg,right
Fix1,stimuli/Sad/11.jpg,right
Fix2,stimuli/Dangerous/23.jpg,left
Fix1,stimuli/Sad/5.jpg,right
Cond,stimuli/Healthy/61.jpg,left
Cond,stimuli/Healthy/48.jpg,right
Cond,stimuli/Healthy/69.jpg,left
Cond,stimuli/Healthy/32.jpg,right
Fix2,stimuli/Dangerous/16.jpg,left
Fix2,stimuli/Dangerous/32.jpg,left
Fix1,stimuli/Sad/9.jpg,right
Fix1,stimuli/Sad/57.jpg,right
Fix2,stimuli/Dangerous/34.jpg,left
Cond,stimuli/Healthy/60.jpg,right
Fix2,stimuli/Dangerous/39.jpg,left
Cond,stimuli/Healthy/67.jpg,right
Fix1,stimuli/Sad/44.jpg,right
Fix1,stimuli/Sad/29.jpg,right
Fix2,stimuli/Dangerous/44.jpg,left
Fix2,stimuli/Dangerous/2.jpg,left
Fix1,stimuli/Sad/45.jpg,right
Fix1,stimuli/Sad/54.jpg,right
Fix1,stimuli/Sad/33.jpg,right
Fix1,stimuli/Sad/23.jpg,right
Fix2,stimuli/Dangerous/4.jpg,left
Cond,stimuli/Healthy/14.jpg,right
Fix2,stimuli/Dangerous/14.jpg,left
Fix2,stimuli/Dangerous/56.jpg,left
Cond,stimuli/Healthy/1.jpg,right
Cond,stimuli/Healthy/6.jpg,left
Fix1,stimuli/Sad/0.jpg,right
Cond,stimuli/Healthy/57.jpg,left
Cond,stimuli/Healthy/59.jpg,right
Fix2,stimuli/Dangerous/53.jpg,left
Fix2,stimuli/Dangerous/33.jpg,left
Fix1,stimuli/Sad/55.jpg,right
Fix2,stimuli/Dangerous/45.jpg,left
Cond,stimuli/Healthy/19.jpg,right
Fix2,stimuli/Dangerous/10.jpg,left
Cond,stimuli/Healthy/26.jpg,right
Fix1,stimuli/Sad/32.jpg,right
Cond,stimuli/Healthy/62.jpg,left
Fix2,stimuli/Dangerous/12.jpg,left
Fix2,stimuli/Dangerous/40.jpg,left
Cond,stimuli/Healthy/38.jpg,right
Cond,stimuli/Healthy/68.jpg,left
Fix2,stimuli/Dangerous/49.jpg,left
Cond,stimuli/Healthy/29.jpg,right
Cond,stimuli/Healthy/5.jpg,left
Fix1,stimuli/Sad/26.jpg,right
Cond,stimuli/Healthy/24.jpg,left
Fix2,stimuli/Dangerous/46.jpg,left
Fix2,stimuli/Dangerous/28.jpg,left
Cond,stimuli/Healthy/33.jpg,right
Fix1,stimuli/Sad/24.jpg,right
Cond,stimuli/Healthy/2.jpg,left
Fix2,stimuli/Dangerous/0.jpg,left
Fix2,stimuli/Dangerous/51.jpg,left
Cond,stimuli/Healthy/65.jpg,right
Fix1,stimuli/Sad/20.jpg,right
Fix2,stimuli/Dangerous/25.jpg,left
Fix2,stimuli/Dangerous/15.jpg,left
Cond,stimuli/Healthy/27.jpg,right
Fix2,stimuli/Dangerous/41.jpg,left
Fix1,stimuli/Sad/18.jpg,right
Fix1,stimuli/Sad/12.jpg,right
Fix2,stimuli/Dangerous/36.jpg,left
Cond,stimuli/Healthy/20.jpg,right
Fix1,stimuli/Sad/4.jpg,right
Fix1,stimuli/Sad/10.jpg,right
Fix2,stimuli/Dangerous/38.jpg,left
Cond,stimuli/Healthy/66.jpg,right
Fix2,stimuli/Dangerous/29.jpg,left
Fix1,stimuli/Sad/35.jpg,right
Fix2,stimuli/Dangerous/5.jpg,left
Cond,stimuli/Healthy/30.jpg,right
Fix2,stimuli/Dangerous/35.jpg,left
Cond,stimuli/Healthy/56.jpg,right
Fix2,stimuli/Dangerous/58.jpg,left
Fix1,stimuli/Sad/19.jpg,right
Cond,stimuli/Healthy/34.jpg,left
Fix1,stimuli/Sad/50.jpg,right
Fix1,stimuli/Sad/13.jpg,right
Fix1,stimuli/Sad/56.jpg,right
Fix1,stimuli/Sad/47.jpg,right
Fix2,stimuli/Dangerous/30.jpg,left
Fix2,stimuli/Dangerous/55.jpg,left
Cond,stimuli/Healthy/54.jpg,right
Fix1,stimuli/Sad/38.jpg,right
Fix1,stimuli/Sad/31.jpg,right
Cond,stimuli/Healthy/25.jpg,left
Cond,stimuli/Healthy/64.jpg,right
